City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,mabaruma,8.2,-59.7833,27.88,82,100,1.59,GY,1722608230
75,tres lagoas,-20.7511,-51.6783,29.9,27,0,7.43,BR,1722608120
76,raja,8.4596,25.678,31.74,46,86,1.29,SS,1722608234
77,edinburgh of the seven seas,-37.0676,-12.3116,8.67,71,84,14.03,SH,1722608235
78,st. john's,47.5649,-52.7093,25.66,84,75,9.26,CA,1722608053
79,west island,-12.1568,96.8225,26.99,78,75,6.69,CC,1722608237
80,wuhai,39.6647,106.8122,21.08,71,100,7.27,CN,1722608238
81,waitangi,-43.9535,-176.5597,8.79,82,71,4.92,NZ,1722608239
82,tura,25.5198,90.2201,23.69,99,100,2.62,IN,1722608240
83,shenjiamen,29.9576,122.298,27.99,95,2,3.79,CN,1722608242
84,sabang,5.8933,95.3214,28.64,77,24,2.51,ID,1722608233
85,lompoc,34.6391,-120.4579,13.23,100,100,1.54,US,1722608244
86,vila velha,-20.3297,-40.2925,24.97,76,40,4.63,BR,1722608245
87,iskushuban,10.2837,50.23,34.45,30,100,12.12,SO,1722608116
88,nova sintra,14.8667,-24.7167,25.23,76,92,7.53,CV,1722608249
89,aasiaat,68.7098,-52.8699,2.53,90,78,2.5,GL,1722608250
90,aketi,2.7388,23.7833,28.48,63,88,0.88,CD,1722608251
91,al bawiti,28.3492,28.8659,37.72,18,0,6.03,EG,1722608252
92,petauke,-14.2426,31.3253,26.72,19,0,3.92,ZM,1722608253
93,jayapura,-2.5333,140.7,25.66,93,37,2.19,ID,1722608255
94,fort st. john,56.2499,-120.8529,9.94,87,75,1.54,CA,1722608256
95,anna regina,7.2644,-58.5077,27.92,80,20,2.44,GY,1722608257
96,talnakh,69.4865,88.3972,20.65,57,78,1.92,RU,1722608258
97,ust-nera,64.5667,143.2,4.09,83,82,2.07,RU,1722608259
98,punta arenas,-53.15,-70.9167,4.06,93,100,7.72,CL,1722607480
99,madalena,41.2162,-8.3345,29.19,64,0,5.63,PT,1722608261
100,xiangyang,32.0422,112.1448,29.2,81,0,6.14,CN,1722608262
